809054,67104
857780,388843
654547,952275
523160,989102
715372,730305
827370,701078
792312,315899
668067,782701
85030,491165
385268,830851
61587,107663
474784,455237
396880,170639
293235,934034
361318,2503
387780,807844
280921,156830
761410,806317
60915,159654
48706,304985
961157,335201
549803,459997
665219,859588
735173,410608
347476,440407
874854,68031
954753,104468
149389,918147
202363,806751
582801,576675
586091,797438
991562,164302
670086,479091
315348,154777
167003,175479
237201,400650
983157,290022
95251,34416
190231,101504
990891,166128
501939,37
627367,837474
500617,861689
867006,952255
107174,941776
413424,279390
758970,632880
978940,962913
574790,833366
334417,718586
732119,792214
340509,688614
57698,627618
46369,362301
389483,855501
67646,757133
82454,613661
737528,693883
50398,462386
881116,535023
236590,760999
911789,722732
70243,467065
791567,49763
850014,961880
926183,477850
236371,615633
528764,937829
634049,707617
731747,223640
981398,878011
29849,775753
274066,67043
775269,828459
714131,62750
615551,785271
204202,451356
878133,880145
680951,735925
116987,464499
58663,81160
834440,726318
22692,96572
392930,355015
283018,312704
394888,281835
103305,313261
447872,794724
751617,630326
34857,471157
327303,227233
183937,891992
863845,562460
381118,364156
688530,745837
110945,996441
135210,824850
428679,812093
215568,75319
282624,703845
174455,543917
790523,194731
538795,155562
290221,399598
232603,642403
116775,677991
869271,605414
834526,545918
255470,791405
111240,137696
719979,230964
540579,117015
239072,246463
855546,499513
566844,922797
105947,595822
919529,376761
192531,770496
248119,883053
1494,697428
268714,224824
354754,937547
114937,560663
509927,521378
827348,773090
225336,790521
170320,885132
453324,209515
386099,577844
631298,823713
439657,961174
390799,153234
75856,403966
287901,574530
366515,859226
439735,469198
44552,205360
766676,83396
205439,682696
301375,729192
662495,514730
790282,259534
252234,422865
157497,93371
444088,216335
33539,600504
154550,645649
791036,923311
556687,727827
886315,578845
870824,663368
10773,978592
996598,56104
728489,233260
555966,534335
85014,228724
891060,598732
115348,613588
119265,296562
831518,954056
532304,284856
430195,100435
474504,731911
864397,522803
879263,61076
655116,354197
476825,835825
266513,698827
731054,331982
676315,380067
887130,882788
324180,593217
551459,986753
452311,546289
787886,161480
417456,69637
459341,587486
865891,427117
367065,542197
228924,190367
395550,251089
799286,512168
532862,236676
957739,870552
362870,526022
150772,778388
310758,783731
370629,16017
764425,104694
213361,788534
94936,960371
353522,59086
626824,927100
183449,337270
609517,889802
449029,313630
447325,825304
389730,726764
882812,612462
935444,944171
128047,428952
715507,159611
174802,102214
485433,588937
643225,800972
389021,621434
928296,961808
682406,348232
971759,962545
725112,796573
639734,669786
207136,784677
990625,211870
609750,321078
263488,380910
725612,601535
380333,959725
236142,749828
817855,152373
845,336068
970501,13858
224147,185616
636313,260075
282709,726651
558708,860596
7789,424714
300992,640279
340253,784653
364557,306200
206431,950178
874333,401120
167671,114980
873110,849195
806266,961131
831703,10811
418507,812581
916443,40736
497295,851966
787953,113236
387228,804384
481384,487500
592981,294151
903204,986763
767709,484958
55462,517020
174234,965090
328544,828454
581930,350004
68443,369022
334334,109577
369995,607273
738776,963401
531733,863566
398430,598072
523154,660803
352234,194797
944282,967301
240334,783574
702270,978079
775817,387307
658867,283112
677695,606212
28733,662520
425297,356163
353170,158329
3245,323705
45742,261706
680026,688328
801012,671567
190286,42202
480805,678384
176108,618368
907927,822076
244759,685060
953936,901706
588150,994986
686157,646638
913970,952954
349877,46837
256321,596551
617170,877977
734271,281682
930874,620566
526929,742191
79236,115146
636199,443336
591841,572570
275603,942224
764385,544554
5223,173892
517112,2279
749892,667266
545335,235775
765370,774753
850089,160061
263633,299281
801610,939932
138230,589179
814135,195809
722073,994438
495563,32064
262213,608762
380553,941499
972525,576532
755593,878677
219835,453666
940079,897741
377469,988592
92995,335351
801187,555736
107133,943750
957554,70312
26902,85954
350507,632184
486065,429297
81145,820244
43548,255852
613343,193967
278032,960905
125595,223520
294584,320709
124491,829986
193230,329768
138258,77893
952492,12102
184115,977545
176870,758657
678395,492326
191206,765211
356292,991415
582881,172554
182493,37709
668622,681502
697154,158526
333891,489961
867880,310701
790069,765660
835604,719870
275998,253290
145100,92315
393759,751340
741951,671901
632411,926462
613846,499515
939388,37062
326094,700701
939799,903587
657098,411752
760361,237911
750551,725140
389407,667792
110889,412387
962209,111590
975324,770687
237026,810148
441477,748270
784660,634303
773154,339729
429110,349477
622987,69111
950958,265016
163592,901675
617700,105033
316288,375596
921299,895144
24961,116347
594001,404026
45534,512935
877367,756075
600354,698261
454279,997900
880225,717987
647032,882118
586246,127935
981447,628382
637493,857931
408461,495742
351318,989204
413519,734824
721460,230354
671723,730100
322912,958298
94033,643813
860875,200264
183546,133903
981141,908019
917924,94396
262209,594243
402349,873770
747253,571640
762379,590542
126516,23339
155803,425735
430423,766506
366078,34464
126975,24073
766613,84459
330774,554592
207667,627597
634033,873509
908642,778784
644912,90366
887285,505806
391637,902946
630424,852016
177759,644496
133234,430403
221316,741865
310084,606717
968496,88860
604336,21736
795345,621093
111544,772062
751252,589774
788826,198754
286060,513276
401007,37183
253949,301036
606095,241907
843627,654471
403524,138746
65308,804710
176307,621813
266947,390910
469983,908899
961964,552312
837104,766759
885451,723182
185041,192292
615584,774255
73997,634456
